security,date,monthly_return,monthly_return_f1
AMZN US Equity,2017-09-29,-0.019630838262288397,0.14971654444271065
AMZN US Equity,2017-10-31,0.14971654444271065,0.06466234800231607
AMZN US Equity,2017-11-30,0.06466234800231607,-0.006186530698959025
AMZN US Equity,2017-12-29,-0.006186530698959025,0.24063892190479463
AMZN US Equity,2018-01-31,0.24063892190479463,0.04242912970659374
AMZN US Equity,2018-02-28,0.04242912970659374,-0.0430493570035374
AMZN US Equity,2018-03-30,-0.0430493570035374,0.08207470255779592
AMZN US Equity,2018-04-30,0.08207470255779592,0.04053941882219214
AMZN US Equity,2018-05-31,0.04053941882219214,0.04306525447650378
AMZN US Equity,2018-06-29,0.04306525447650378,0.045675961877868154
AMZN US Equity,2018-07-31,0.045675961877868154,0.1323645242596092
AMZN US Equity,2018-08-31,0.1323645242596092,-0.0048243413109687605
AMZN US Equity,2018-09-28,-0.0048243413109687605,-0.20219171243135292
AMZN US Equity,2018-10-31,-0.20219171243135292,0.057671729213208955
AMZN US Equity,2018-11-30,0.057671729213208955,-0.11134974588355018
AMZN US Equity,2018-12-31,-0.11134974588355018,0.14431713016904468
AMZN US Equity,2019-01-31,0.14431713016904468,-0.04590598872423246
AMZN US Equity,2019-02-28,-0.04590598872423246,0.08593573724105563
AMZN US Equity,2019-03-29,0.08593573724105563,0.08185876737329778
AMZN US Equity,2019-04-30,0.08185876737329778,-0.07861325083570381
AMZN US Equity,2019-05-31,-0.07861325083570381,0.0667917321570417
AMZN US Equity,2019-06-28,0.0667917321570417,-0.014179116300438888
AMZN US Equity,2019-07-31,-0.014179116300438888,-0.04847384265955279
AMZN US Equity,2019-08-30,-0.04847384265955279,-0.022732774490651808
AMZN US Equity,2019-09-30,-0.022732774490651808,0.023474719311485037
AMZN US Equity,2019-10-31,0.023474719311485037,0.013587293010480339
AMZN US Equity,2019-11-29,0.013587293010480339,0.026121723678365072
AMZN US Equity,2019-12-31,0.026121723678365072,0.08706381504892202
AMZN US Equity,2020-01-31,0.08706381504892202,-0.062213748058465135
AMZN US Equity,2020-02-28,-0.062213748058465135,0.03502057067020581
AMZN US Equity,2020-03-31,0.03502057067020581,0.26890014976509446
AMZN US Equity,2020-04-30,0.26890014976509446,-0.012784963621665368
AMZN US Equity,2020-05-29,-0.012784963621665368,0.1295667732571233
AMZN US Equity,2020-06-30,0.1295667732571233,0.14711362104087966
AMZN US Equity,2020-07-31,0.14711362104087966,0.09046096287776328
AMZN US Equity,2020-08-31,0.09046096287776328,-0.08757852887312512
AMZN US Equity,2020-09-30,-0.08757852887312512,-0.03575409768382809
AMZN US Equity,2020-10-30,-0.03575409768382809,0.043439882746241
AMZN US Equity,2020-11-30,0.043439882746241,0.028058357849017
AMZN US Equity,2020-12-31,0.028058357849017,-0.01557601790643337
AMZN US Equity,2021-01-29,-0.01557601790643337,-0.03532842617428733
AMZN US Equity,2021-02-26,-0.03532842617428733,0.0003718157216621165
AMZN US Equity,2021-03-31,0.0003718157216621165,0.12066268486916965
AMZN US Equity,2021-04-30,0.12066268486916965,-0.07047026319280614
AMZN US Equity,2021-05-31,-0.07047026319280614,0.06735503727812286
AMZN US Equity,2021-06-30,0.06735503727812286,-0.032722315241151545
AMZN US Equity,2021-07-30,-0.032722315241151545,0.04303414783672266
AMZN US Equity,2021-08-31,0.04303414783672266,-0.05351807513563189
AMZN US Equity,2021-09-30,-0.05351807513563189,0.02660241580011191
AMZN US Equity,2021-10-29,0.02660241580011191,0.03992373451784026
AMZN US Equity,2021-11-30,0.03992373451784026,-0.04925193965332886
AMZN US Equity,2021-12-31,-0.04925193965332886,-0.10282994535650247
AMZN US Equity,2022-01-31,-0.10282994535650247,0.026672505490611842
AMZN US Equity,2022-02-28,0.026672505490611842,0.06143732539739366
AMZN US Equity,2022-03-31,0.06143732539739366,-0.2375251154158805
AMZN US Equity,2022-04-29,-0.2375251154158805,-0.9516380153120134
AMZN US Equity,2022-05-31,-0.9516380153120134,-0.11646285666749856
AMZN US Equity,2022-06-30,-0.11646285666749856,0.27059598907824123
AMZN US Equity,2022-07-29,0.27059598907824123,-0.06061504260837347
AMZN US Equity,2022-08-31,-0.06061504260837347,-0.10862191370197993
AMZN US Equity,2022-09-30,-0.10862191370197993,-0.09345132743362838
AMZN US Equity,2022-10-31,-0.09345132743362838,-0.05759468957438496
AMZN US Equity,2022-11-30,-0.05759468957438496,-0.1298943443132381
AMZN US Equity,2022-12-30,-0.1298943443132381,0.22773809523809518
AMZN US Equity,2023-01-31,0.22773809523809518,-0.08629884611655181
AMZN US Equity,2023-02-28,-0.08629884611655181,0.09614772365488711
AMZN US Equity,2023-03-31,0.09614772365488711,0.02091199535288979
AMZN US Equity,2023-04-28,0.02091199535288979,0.14348032242769082
AMZN US Equity,2023-05-31,0.14348032242769082,0.08110797810582193
AMZN US Equity,2023-06-30,0.08110797810582193,0.02546793494937094
AMZN US Equity,2023-07-31,0.02546793494937094,0.032390783961699476
AMZN US Equity,2023-08-31,0.032390783961699476,-0.07890732555611901
APTV US Equity,2014-01-31,0.012640006036069407,0.09328339918236095
APTV US Equity,2014-02-28,0.09328339918236095,0.019376591699845624
APTV US Equity,2014-03-31,0.019376591699845624,-0.015030331606801117
APTV US Equity,2014-04-30,-0.015030331606801117,0.03321300154865403
APTV US Equity,2014-05-30,0.03321300154865403,-0.004633191283376692
APTV US Equity,2014-06-30,-0.004633191283376692,-0.028222073625066124
APTV US Equity,2014-07-31,-0.028222073625066124,0.04161706934331355
APTV US Equity,2014-08-29,0.04161706934331355,-0.11842495851857693
APTV US Equity,2014-09-30,-0.11842495851857693,0.1245508725626443
APTV US Equity,2014-10-31,0.1245508725626443,0.05755281126409528
APTV US Equity,2014-11-28,0.05755281126409528,-0.0031521217903920373
APTV US Equity,2014-12-31,-0.0031521217903920373,-0.05486864852706741
APTV US Equity,2015-01-30,-0.05486864852706741,0.14709790835390346
APTV US Equity,2015-02-27,0.14709790835390346,0.01141514134149868
APTV US Equity,2015-03-31,0.01141514134149868,0.040884039114283954
APTV US Equity,2015-04-30,0.040884039114283954,0.04795057501852007
APTV US Equity,2015-05-29,0.04795057501852007,-0.02172868653315574
APTV US Equity,2015-06-30,-0.02172868653315574,-0.08238248912585933
APTV US Equity,2015-07-31,-0.08238248912585933,-0.032788163660995795
APTV US Equity,2015-08-31,-0.032788163660995795,0.006886488349408637
APTV US Equity,2015-09-30,0.006886488349408637,0.09402903757110637
APTV US Equity,2015-10-30,0.09402903757110637,0.056377424345494864
APTV US Equity,2015-11-30,0.056377424345494864,-0.024465097701438232
APTV US Equity,2015-12-31,-0.024465097701438232,-0.24250585953004
APTV US Equity,2016-01-29,-0.24250585953004,0.026794036699777646
APTV US Equity,2016-02-29,0.026794036699777646,0.12507408223082872
APTV US Equity,2016-03-31,0.12507408223082872,-0.018527743075172465
APTV US Equity,2016-04-29,-0.018527743075172465,-0.07700664652763933
APTV US Equity,2016-05-31,-0.07700664652763933,-0.07886905284757084
APTV US Equity,2016-06-30,-0.07886905284757084,0.08338482781770207
APTV US Equity,2016-07-29,0.08338482781770207,0.04187666909016641
APTV US Equity,2016-08-31,0.04187666909016641,0.009340409606023226
APTV US Equity,2016-09-30,0.009340409606023226,-0.08763318908874806
APTV US Equity,2016-10-31,-0.08763318908874806,-0.016443553950709733
APTV US Equity,2016-11-30,-0.016443553950709733,0.05234360717390407
APTV US Equity,2016-12-30,0.05234360717390407,0.040236619258907425
APTV US Equity,2017-01-31,0.040236619258907425,0.08664118429954448
APTV US Equity,2017-02-28,0.08664118429954448,0.05726939260067776
APTV US Equity,2017-03-31,0.05726939260067776,-0.001118410610957743
APTV US Equity,2017-04-28,-0.001118410610957743,0.09415562719681847
APTV US Equity,2017-05-31,0.09415562719681847,-0.003638594343553403
APTV US Equity,2017-06-30,-0.003638594343553403,0.03160287791735139
APTV US Equity,2017-07-31,0.03160287791735139,0.06613647977204518
APTV US Equity,2017-08-31,0.06613647977204518,0.020747283668821392
APTV US Equity,2017-09-29,0.020747283668821392,0.009958953290713168
APTV US Equity,2017-10-31,0.009958953290713168,0.053229792249075425
APTV US Equity,2017-11-30,0.053229792249075425,-0.03239310185137656
APTV US Equity,2017-12-29,-0.03239310185137656,0.11847223859483669
APTV US Equity,2018-01-31,0.11847223859483669,-0.037415682967959496
APTV US Equity,2018-02-28,-0.037415682967959496,-0.06963757801379611
APTV US Equity,2018-03-30,-0.06963757801379611,-0.004589855243026908
APTV US Equity,2018-04-30,-0.004589855243026908,0.15275478836604406
APTV US Equity,2018-05-31,0.15275478836604406,-0.060205128205128244
APTV US Equity,2018-06-29,-0.060205128205128244,0.07028265851795257
APTV US Equity,2018-07-31,0.07028265851795257,-0.10257978994595685
APTV US Equity,2018-08-31,-0.10257978994595685,-0.046699238722872405
APTV US Equity,2018-09-28,-0.046699238722872405,-0.08462455303933258
APTV US Equity,2018-10-31,-0.08462455303933258,-0.06380208333333326
APTV US Equity,2018-11-30,-0.06380208333333326,-0.14367176634214196
APTV US Equity,2018-12-31,-0.14367176634214196,0.2852038330355693
APTV US Equity,2019-01-31,0.2852038330355693,0.050296979653734475
APTV US Equity,2019-02-28,0.050296979653734475,-0.04355673204187227
APTV US Equity,2019-03-29,-0.04355673204187227,0.07812303434394274
APTV US Equity,2019-04-30,0.07812303434394274,-0.2527421236872812
APTV US Equity,2019-05-31,-0.2527421236872812,0.26217988757026833
APTV US Equity,2019-06-28,0.26217988757026833,0.08437461338611918
APTV US Equity,2019-07-31,0.08437461338611918,-0.05111237877923569
APTV US Equity,2019-08-30,-0.05111237877923569,0.051100156306360445
APTV US Equity,2019-09-30,0.051100156306360445,0.02436513383665062
APTV US Equity,2019-10-31,0.02436513383665062,0.048352875488553826
APTV US Equity,2019-11-29,0.048352875488553826,0.011610566680869239
APTV US Equity,2019-12-31,0.011610566680869239,-0.1071917447615035
APTV US Equity,2020-01-31,-0.1071917447615035,-0.07878287533907313
APTV US Equity,2020-02-28,-0.07878287533907313,-0.3696069645371911
